model_display_name,test_accuracy,test_balanced_acc,test_log_loss,test_ece,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__metric,param_clf__n_neighbors,param_clf__weights,param_mrmr,param_pca,param_sg,param_clf__C,param_clf__kernel,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score,clf_name,class0_precision,class0_recall,class0_f1,class1_precision,class1_recall,class1_f1,class2_precision,class2_recall,class2_f1,class3_precision,class3_recall,class3_f1
KNeighborsClassifier()_Window401Poly1_PCA0.999_NomRMR,0.9095238095238095,0.9088736213654179,0.6627209647496032,0.04804641894194728,3.8366030752658844,0.40731532345200894,0.09069272875785828,0.0099428615957622,"KNeighborsClassifier(metric='cosine', weights='distance')",cosine,3.0,distance,passthrough,PCA(n_components=0.999),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",,,,"{'clf': KNeighborsClassifier(metric='cosine', weights='distance'), 'clf__metric': 'cosine', 'clf__n_neighbors': 3, 'clf__weights': 'distance', 'mrmr': 'passthrough', 'pca': PCA(n_components=0.999), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.9001860712387028,0.9499662706184446,0.8741404447926188,0.9658408408408408,0.9006506506506506,0.9236221126953392,0.9079900839054157,0.8948901975217766,0.9146608340329736,0.0283488412031193,1,KNeighborsClassifier,0.9361702127659575,0.9565217391304348,0.946236559139785,0.9054054054054054,0.8933333333333333,0.8993288590604027,0.9074074074074074,0.9245283018867925,0.9158878504672897,0.8857142857142857,0.8611111111111112,0.8732394366197183
"KNeighborsClassifier(metric='cosine', n_neighbors=3, weights='distance')_Window401Poly1_PCA0.999_NomRMR",0.9095238095238095,0.9088736213654179,0.6627209647496032,0.04804641894194728,3.6964103877544403,0.23579355240373015,0.11273232102394104,0.010411025894678136,"KNeighborsClassifier(metric='cosine', weights='distance')",cosine,5.0,distance,passthrough,PCA(n_components=0.999),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",,,,"{'clf': KNeighborsClassifier(metric='cosine', weights='distance'), 'clf__metric': 'cosine', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'mrmr': 'passthrough', 'pca': PCA(n_components=0.999), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8976608187134504,0.9184510597554075,0.8766429472951213,0.9384384384384384,0.9006506506506506,0.9163121711748714,0.8875051340726399,0.9201427227743018,0.9069754928593602,0.01873526107636937,4,KNeighborsClassifier,0.9361702127659575,0.9565217391304348,0.946236559139785,0.9054054054054054,0.8933333333333333,0.8993288590604027,0.9074074074074074,0.9245283018867925,0.9158878504672897,0.8857142857142857,0.8611111111111112,0.8732394366197183
"SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window401Poly1_PCA0.999_NomRMR",0.7523809523809524,0.7637348464132714,0.6078249567702007,0.10890841385018146,2.7994047105312347,0.5855718362254803,0.07672488689422607,0.008501290042210978,"SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    kernel='linear', probability=True)",,,,passthrough,PCA(n_components=0.999),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",10.0,rbf,,"{'clf': SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    kernel='linear', probability=True), 'clf__C': 10, 'clf__kernel': 'rbf', 'mrmr': 'passthrough', 'pca': PCA(n_components=0.999), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8219918483076378,0.7467358663010837,0.8181333507420464,0.8246072159115637,0.756914523218871,0.8125550079211407,0.7437462105654324,0.7944015049278208,0.7898856909869496,0.032875650842268095,25,SVC,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.8529411764705882,0.7733333333333333,0.8111888111888111,0.6296296296296297,0.6415094339622641,0.6355140186915887,0.8095238095238095,0.9444444444444444,0.8717948717948718
"SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    probability=True)_Window401Poly1_PCA0.999_NomRMR",0.7523809523809524,0.7637348464132714,0.6078249567702007,0.10890841385018146,9.637981116771698,0.9937209651956928,0.05796101689338684,0.014152780342353039,"SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    kernel='linear', probability=True)",,,,passthrough,PCA(n_components=0.999),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",10.0,linear,,"{'clf': SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    kernel='linear', probability=True), 'clf__C': 10, 'clf__kernel': 'linear', 'mrmr': 'passthrough', 'pca': PCA(n_components=0.999), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.7386585149743043,0.6852504678591635,0.7799103451277364,0.7399791095443269,0.7153294598946773,0.7404677384654501,0.7458096188073304,0.7033492822966507,0.731094317121205,0.02725696824496673,26,SVC,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.8529411764705882,0.7733333333333333,0.8111888111888111,0.6296296296296297,0.6415094339622641,0.6355140186915887,0.8095238095238095,0.9444444444444444,0.8717948717948718
LinearDiscriminantAnalysis()_Window401Poly1_PCA0.999_NomRMR,0.5619047619047619,0.48267455108923524,1.0109467940621417,0.0716606384577432,1.5628222823143005,0.17084270272723073,0.06617385149002075,0.005329663873734004,LinearDiscriminantAnalysis(),,,,passthrough,PCA(n_components=0.999),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",,,svd,"{'clf': LinearDiscriminantAnalysis(), 'clf__solver': 'svd', 'mrmr': 'passthrough', 'pca': PCA(n_components=0.999), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.4154040404040404,0.3834269051660356,0.4128149889019454,0.4244353048700874,0.39912738825782307,0.39967533102544545,0.5204482778853489,0.4973827342248395,0.4315893713419457,0.046478764472887006,31,LinearDiscriminantAnalysis,0.7272727272727273,0.34782608695652173,0.47058823529411764,0.47096774193548385,0.9733333333333334,0.6347826086956522,0.88,0.41509433962264153,0.5641025641025641,0.875,0.19444444444444445,0.3181818181818182
KNeighborsClassifier()_Window201Poly1_PCA0.95_NomRMR,0.919047619047619,0.9191513991431957,0.6589647769662464,0.03428571428571424,4.027264893054962,0.5695615058020338,0.0816907286643982,0.01532087352350909,KNeighborsClassifier(metric='euclidean'),cosine,3.0,distance,passthrough,PCA(n_components=0.95),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)",,,,"{'clf': KNeighborsClassifier(metric='euclidean'), 'clf__metric': 'cosine', 'clf__n_neighbors': 3, 'clf__weights': 'distance', 'mrmr': 'passthrough', 'pca': PCA(n_components=0.95), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)}",0.8954013822434875,0.9225638682160422,0.8574063193628411,0.9017767767767768,0.8825075075075075,0.8809041835357625,0.8816571808562655,0.8745961640698482,0.8871016728210663,0.01826598834616968,1,KNeighborsClassifier,0.9777777777777777,0.9565217391304348,0.967032967032967,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.98,0.9245283018867925,0.9514563106796117,0.8,0.8888888888888888,0.8421052631578947
"KNeighborsClassifier(metric='cosine', n_neighbors=3, weights='distance')_Window201Poly1_PCA0.95_NomRMR",0.919047619047619,0.9191513991431957,0.6589647769662464,0.03428571428571424,3.7379953265190125,0.31672598433627946,0.1084648072719574,0.02961180720413306,KNeighborsClassifier(metric='euclidean'),euclidean,5.0,uniform,passthrough,PCA(n_components=0.95),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)",,,,"{'clf': KNeighborsClassifier(metric='euclidean'), 'clf__metric': 'euclidean', 'clf__n_neighbors': 5, 'clf__weights': 'uniform', 'mrmr': 'passthrough', 'pca': PCA(n_components=0.95), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)}",0.8610446570972886,0.8926589633111373,0.8736236236236237,0.8878878878878879,0.8648811855333595,0.8561457294294823,0.8545932836550686,0.8592248394879973,0.8687575212532306,0.013629004025350435,10,KNeighborsClassifier,0.9777777777777777,0.9565217391304348,0.967032967032967,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.98,0.9245283018867925,0.9514563106796117,0.8,0.8888888888888888,0.8421052631578947
"SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window201Poly1_PCA0.95_NomRMR",0.35714285714285715,0.4142209005560113,1.3099913745739882,0.07580556125480153,2.5297515094280243,0.6621654457843297,0.05221632122993469,0.004674189754473888,"SVC(C=1, class_weight='balanced', decision_function_shape='ovo',
    kernel='sigmoid', probability=True)",,,,passthrough,PCA(n_components=0.95),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)",10.0,rbf,,"{'clf': SVC(C=1, class_weight='balanced', decision_function_shape='ovo',
    kernel='sigmoid', probability=True), 'clf__C': 10, 'clf__kernel': 'rbf', 'mrmr': 'passthrough', 'pca': PCA(n_components=0.95), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)}",0.8520290625553784,0.8297536667101885,0.839872481176829,0.8237150193671934,0.8019432475954216,0.8259329343425453,0.7268208844295801,0.8813540260908683,0.8226776652835006,0.042249648995414626,23,SVC,0.36585365853658536,0.32608695652173914,0.3448275862068966,0.42424242424242425,0.18666666666666668,0.25925925925925924,0.3333333333333333,0.2830188679245283,0.30612244897959184,0.34065934065934067,0.8611111111111112,0.4881889763779528
"SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    probability=True)_Window201Poly1_PCA0.95_NomRMR",0.35714285714285715,0.4142209005560113,1.3099913745739882,0.07580556125480153,3.8044355511665344,0.5313642389400866,0.0823010802268982,0.021825076076982457,"SVC(C=1, class_weight='balanced', decision_function_shape='ovo',
    kernel='sigmoid', probability=True)",,,,passthrough,PCA(n_components=0.95),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)",1.0,sigmoid,,"{'clf': SVC(C=1, class_weight='balanced', decision_function_shape='ovo',
    kernel='sigmoid', probability=True), 'clf__C': 1, 'clf__kernel': 'sigmoid', 'mrmr': 'passthrough', 'pca': PCA(n_components=0.95), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)}",0.43374534821903243,0.3623732428080254,0.42767223745484617,0.40924620272446355,0.42488684336510424,0.38587689960687677,0.36592002581705096,0.39060646955383793,0.40004090869365466,0.02615877715405486,31,SVC,0.36585365853658536,0.32608695652173914,0.3448275862068966,0.42424242424242425,0.18666666666666668,0.25925925925925924,0.3333333333333333,0.2830188679245283,0.30612244897959184,0.34065934065934067,0.8611111111111112,0.4881889763779528
LinearDiscriminantAnalysis()_Window201Poly1_PCA0.95_NomRMR,0.5047619047619047,0.41861863093610424,1.0668725948416313,0.06670517160162119,2.630943536758423,0.5815795818049615,0.059549540281295776,0.011996853428486503,LinearDiscriminantAnalysis(),,,,passthrough,PCA(n_components=0.95),"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)",,,svd,"{'clf': LinearDiscriminantAnalysis(), 'clf__solver': 'svd', 'mrmr': 'passthrough', 'pca': PCA(n_components=0.95), 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)}",0.37220893141945777,0.32002110806458633,0.36792771031901467,0.36278125952039,0.3882578230404317,0.3797135676426294,0.3925340804631422,0.46044963808121697,0.3804867648188587,0.03673557375807416,32,LinearDiscriminantAnalysis,0.5909090909090909,0.2826086956521739,0.38235294117647056,0.43902439024390244,0.96,0.602510460251046,0.85,0.32075471698113206,0.4657534246575342,1.0,0.1111111111111111,0.2
KNeighborsClassifier()_Window401Poly1_NoPCA_NomRMR,0.9142857142857143,0.9122069546987512,0.6499282483445518,0.04038603543767328,0.544183999300003,0.1052232233021199,0.11015793681144714,0.009965337480967361,"KNeighborsClassifier(metric='cosine', weights='distance')",cosine,7.0,distance,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",,,,"{'clf': KNeighborsClassifier(metric='cosine', weights='distance'), 'clf__metric': 'cosine', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8770379230905547,0.9415992079035558,0.9035285285285285,0.9451951951951952,0.9263013013013013,0.9163121711748714,0.8839626239511823,0.8996748865169918,0.9117014797077727,0.023538688221691067,1,KNeighborsClassifier,0.9361702127659575,0.9565217391304348,0.946236559139785,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.8857142857142857,0.8611111111111112,0.8732394366197183
"KNeighborsClassifier(metric='cosine', n_neighbors=7, weights='distance')_Window401Poly1_NoPCA_NomRMR",0.9142857142857143,0.9122069546987512,0.6499282483445518,0.04038603543767328,0.505593866109848,0.05838922635227982,0.12113577127456665,0.01639981333924212,"KNeighborsClassifier(metric='cosine', weights='distance')",cosine,5.0,distance,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",,,,"{'clf': KNeighborsClassifier(metric='cosine', weights='distance'), 'clf__metric': 'cosine', 'clf__n_neighbors': 5, 'clf__weights': 'distance', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8976608187134504,0.9184510597554075,0.8766429472951213,0.9384384384384384,0.893893893893894,0.9163121711748714,0.8875051340726399,0.9201427227743018,0.9061308982647656,0.019149079426607676,4,KNeighborsClassifier,0.9361702127659575,0.9565217391304348,0.946236559139785,0.9066666666666666,0.9066666666666666,0.9066666666666666,0.9245283018867925,0.9245283018867925,0.9245283018867925,0.8857142857142857,0.8611111111111112,0.8732394366197183
"SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window401Poly1_NoPCA_NomRMR",0.8952380952380953,0.8965584267614621,0.614237108586028,0.11826005734091496,18.99211111664772,0.8087167359256215,0.3174949586391449,0.040538555295296805,"SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    kernel='linear', probability=True)",,,,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",10.0,linear,,"{'clf': SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    kernel='linear', probability=True), 'clf__C': 10, 'clf__kernel': 'linear', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.8318934963671807,0.8506169212690953,0.8646798972885928,0.829862471166819,0.8057622840231536,0.8444327094212678,0.8419414617927203,0.8181409234040813,0.8359162705916139,0.01742966251824113,25,SVC,0.8837209302325582,0.8260869565217391,0.8539325842696629,0.92,0.92,0.92,0.9019607843137255,0.8679245283018868,0.8846153846153846,0.8536585365853658,0.9722222222222222,0.9090909090909091
LinearDiscriminantAnalysis()_Window401Poly1_NoPCA_NomRMR,0.7,0.6854803573056238,1.1600174806297014,0.20216570668101605,5.168156415224075,1.092067906291648,0.1352318823337555,0.03284779684025776,LinearDiscriminantAnalysis(),,,,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)",,,svd,"{'clf': LinearDiscriminantAnalysis(), 'clf__solver': 'svd', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=401)}",0.7465665426191742,0.6797014405710057,0.8014753884319101,0.8091243417330373,0.6761652957305131,0.7608793444033718,0.6665126444874728,0.7967529546476916,0.742147244078022,0.056271278497972976,28,LinearDiscriminantAnalysis,0.8378378378378378,0.6739130434782609,0.7469879518072289,0.7397260273972602,0.72,0.7297297297297297,0.8936170212765957,0.7924528301886793,0.84,0.37735849056603776,0.5555555555555556,0.449438202247191
KNeighborsClassifier()_Window201Poly1_NoPCA_NomRMR,0.8809523809523809,0.8794239358308267,1.3356075197831483,0.06349206349206346,0.408950537443161,0.04067728718743768,0.5158958435058594,0.0829603194993815,"KNeighborsClassifier(metric='euclidean', n_neighbors=3)",manhattan,7.0,distance,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)",,,,"{'clf': KNeighborsClassifier(metric='euclidean', n_neighbors=3), 'clf__metric': 'manhattan', 'clf__n_neighbors': 7, 'clf__weights': 'distance', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)}",0.872408293460925,0.9065478522000261,0.8896396396396395,0.9363113113113113,0.9015428471950211,0.9410706252811516,0.8604412368714428,0.8794268596900175,0.8984235832061919,0.027128100734709535,1,KNeighborsClassifier,0.9777777777777777,0.9565217391304348,0.967032967032967,0.9130434782608695,0.84,0.875,0.8620689655172413,0.9433962264150944,0.9009009009009009,0.7368421052631579,0.7777777777777778,0.7567567567567568
"KNeighborsClassifier(metric='manhattan', n_neighbors=7, weights='distance')_Window201Poly1_NoPCA_NomRMR",0.8809523809523809,0.8794239358308267,1.3356075197831483,0.06349206349206346,0.3742988407611847,0.0069172898949379094,0.09229624271392822,0.008809219732286495,"KNeighborsClassifier(metric='euclidean', n_neighbors=3)",euclidean,3.0,uniform,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)",,,,"{'clf': KNeighborsClassifier(metric='euclidean', n_neighbors=3), 'clf__metric': 'euclidean', 'clf__n_neighbors': 3, 'clf__weights': 'uniform', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)}",0.8496810207336523,0.8910486573530052,0.8189602646124385,0.8747497497497497,0.8691354397876138,0.8465303448140976,0.8647318547204131,0.8516490819122398,0.8583108017104013,0.02033010231447471,19,KNeighborsClassifier,0.9777777777777777,0.9565217391304348,0.967032967032967,0.9130434782608695,0.84,0.875,0.8620689655172413,0.9433962264150944,0.9009009009009009,0.7368421052631579,0.7777777777777778,0.7567567567567568
"SVC(class_weight='balanced', decision_function_shape='ovo', probability=True)_Window201Poly1_NoPCA_NomRMR",0.35714285714285715,0.40863435420654454,1.259764364500405,0.052150021199023684,13.746996372938156,1.0232654279314568,0.2847271263599396,0.04699236207268782,"SVC(C=1, class_weight='balanced', decision_function_shape='ovo',
    kernel='sigmoid', probability=True)",,,,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)",10.0,linear,,"{'clf': SVC(C=1, class_weight='balanced', decision_function_shape='ovo',
    kernel='sigmoid', probability=True), 'clf__C': 10, 'clf__kernel': 'linear', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)}",0.82832713095871,0.9722222222222222,0.9179342385864125,0.9065478522000261,0.8377943160551856,0.9375110015842282,0.8646976275694811,0.8915163783584836,0.8945688459418437,0.046201235151887246,3,SVC,0.29545454545454547,0.2826086956521739,0.28888888888888886,0.3617021276595745,0.22666666666666666,0.2786885245901639,0.5,0.2641509433962264,0.345679012345679,0.34065934065934067,0.8611111111111112,0.4881889763779528
"SVC(C=10, class_weight='balanced', decision_function_shape='ovo',
    kernel='linear', probability=True)_Window201Poly1_NoPCA_NomRMR",0.35714285714285715,0.40863435420654454,1.259764364500405,0.052150021199023684,26.169638067483902,0.7751586632519331,0.4196268618106842,0.054689721601871695,"SVC(C=1, class_weight='balanced', decision_function_shape='ovo',
    kernel='sigmoid', probability=True)",,,,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)",1.0,sigmoid,,"{'clf': SVC(C=1, class_weight='balanced', decision_function_shape='ovo',
    kernel='sigmoid', probability=True), 'clf__C': 1, 'clf__kernel': 'sigmoid', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)}",0.4803739145844409,0.3920442181311746,0.4623482177830004,0.4421377899638769,0.457060321190756,0.4627437462105654,0.4170113829724814,0.44824765877397454,0.4452459062012838,0.026501178420635894,32,SVC,0.29545454545454547,0.2826086956521739,0.28888888888888886,0.3617021276595745,0.22666666666666666,0.2786885245901639,0.5,0.2641509433962264,0.345679012345679,0.34065934065934067,0.8611111111111112,0.4881889763779528
LinearDiscriminantAnalysis()_Window201Poly1_NoPCA_NomRMR,0.638095238095238,0.6206966092425485,3.630282022540087,0.3129127819547894,5.4304825365543365,0.5677046374138346,0.09418633580207825,0.01801754645214797,LinearDiscriminantAnalysis(),,,,passthrough,passthrough,"SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)",,,svd,"{'clf': LinearDiscriminantAnalysis(), 'clf__solver': 'svd', 'mrmr': 'passthrough', 'pca': 'passthrough', 'sg': SavitzkyGolayTransformer(deriv=1, polyorder=1, window_length=201)}",0.678739145844409,0.6508900204552379,0.7383035209122166,0.7046611829220526,0.6377518823170998,0.773514052690254,0.6839782706487513,0.7275283196335828,0.6994207994279504,0.042783853343959406,29,LinearDiscriminantAnalysis,0.6756756756756757,0.5434782608695652,0.6024096385542169,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.717391304347826,0.6226415094339622,0.6666666666666666,0.40384615384615385,0.5833333333333334,0.4772727272727273
